1.3	0	2.6
12.8	2.6	23
32.75	0	65.5
44.25	23	65.5
105.5	65.5	145.5
125.5	0	251
158.25	65.5	251
173.55	145.5	201.6
226.3	201.6	251
275	251	299
303.75	65.5	542
308.5	299	318
338.5	318	359
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
387.5	359	416
396.5	251	542
430	416	444
466	444	488
515	488	542
771	542	1000
1300	1000	1600
1521	542	2500
2050	1600	2500
2125.5	251	4000
2271	542	4000
2750	2500	3000
3250	3000	3500
3750	3500	4000
